window,state_family,state,seed,observations,ann_mean_daily_return,mps_mean_daily_return,mps_minus_ann_mean_daily_return,mps_minus_ann_annualized_mean_return,ann_annualized_downside_deviation,mps_annualized_downside_deviation,mps_minus_ann_downside_deviation
2019-2020,benchmark_drawdown,at_or_above_prior_peak,8,110,0.005162684417555449,0.003882224763618403,-0.0012804596539370454,-0.32267583279213546,0.017591863805941382,0.0184867171223084,0.0008948533163670169
2019-2020,benchmark_drawdown,at_or_above_prior_peak,9,110,0.00831794258501772,0.0059352801956084585,-0.0023826623894092633,-0.6004309221311344,0.03578639084399808,0.020466001889971892,-0.015320388954026189
2019-2020,benchmark_drawdown,below_prior_peak,0,395,-0.0002631310896017454,-0.00022328615110439376,3.984493849735142e-05,0.010040924501332558,0.20062290384727416,0.18493968217574625,-0.015683221671527914
2019-2020,benchmark_drawdown,below_prior_peak,1,395,-6.459961925316278e-05,-4.8831236484683216e-05,1.5768382768479075e-05,0.003973632457656727,0.18849476039966734,0.2090448024261563,0.02055004202648897
2019-2020,benchmark_drawdown,below_prior_peak,2,395,-0.0009481680881031474,-0.0010257424750537377,-7.757438695059024e-05,-0.01954874551154874,0.23377745957063498,0.2519740035952279,0.018196544024592948
2019-2020,benchmark_drawdown,below_prior_peak,3,395,-0.00015301468826809286,-0.00018355872915241494,-3.0544040884321954e-05,-0.007697098302849132,0.18092665239178696,0.21138759937844817,0.030460946986661214
2019-2020,benchmark_drawdown,below_prior_peak,4,395,-0.0007945498759663821,-0.0009136927925455644,-0.00011914291657918231,-0.03002401497795394,0.21538488106669917,0.24051790562309566,0.025133024556396488
2019-2020,benchmark_drawdown,below_prior_peak,5,395,-0.0006072226442815097,-0.00035463627073309097,0.0002525863735484188,0.06365176613420154,0.21658295380678116,0.21312334771703986,-0.0034596060897413017
2019-2020,benchmark_drawdown,below_prior_peak,6,395,-0.0006411944441688375,-0.0004728050860540098,0.0001683893581148278,0.042434118244936606,0.21396776423079278,0.20166527859915806,-0.012302485631634719
2019-2020,benchmark_drawdown,below_prior_peak,7,395,-0.0003586485102829788,-0.00012502306206091726,0.00023362544822206184,0.058873612951959586,0.203457564847816,0.198945182898291,-0.004512381949524996
2019-2020,benchmark_drawdown,below_prior_peak,8,395,8.413321518920234e-05,0.0001414632198415253,5.733000465232303e-05,0.014447161172385403,0.17734020987502758,0.1717719181497079,-0.005568291725319668
2019-2020,benchmark_drawdown,below_prior_peak,9,395,-0.0008015668667877542,-0.00030257510802805343,0.0004989917587597007,0.1257459232074446,0.24082661659735083,0.19504449434521595,-0.04578212225213488
2019-2020,benchmark_return_tail,bottom_decile,0,51,-0.02324823462353327,-0.02231920180789773,0.0009290328156355354,0.23411626954015494,0.5222463595992854,0.4809458866940795,-0.04130047290520594
2019-2020,benchmark_return_tail,bottom_decile,1,51,-0.024890171431125506,-0.027734642861695465,-0.0028444714305699607,-0.7168068005036301,0.49466045854634955,0.5449563442883403,0.05029588574199073
2019-2020,benchmark_return_tail,bottom_decile,2,51,-0.02620745921043028,-0.02583894993608263,0.0003685092743476459,0.09286433713560677,0.5222615267742536,0.5271926855923971,0.004931158818143433
2019-2020,benchmark_return_tail,bottom_decile,3,51,-0.02303061536856945,-0.02780927160708456,-0.004778656238515116,-1.2042213721058093,0.4671392019508962,0.5500475325353329,0.0829083305844367
2019-2020,benchmark_return_tail,bottom_decile,4,51,-0.027564462176287004,-0.026139027305697764,0.0014254348705892489,0.35920958738849074,0.5376697600883537,0.528863179558042,-0.008806580530311692
2019-2020,benchmark_return_tail,bottom_decile,5,51,-0.023696510017005026,-0.02689569116625018,-0.003199181149245154,-0.8061936496097788,0.5060335064976396,0.5460856163516921,0.0400521098540525
2019-2020,benchmark_return_tail,bottom_decile,6,51,-0.02803346709899163,-0.026866544478499732,0.0011669226204918978,0.29406450036395826,0.5511881094560683,0.5223859851954965,-0.028802124260571826
2019-2020,benchmark_return_tail,bottom_decile,7,51,-0.0267295301299549,-0.02683231005857034,-0.00010277992861544126,-0.025900542011091196,0.5324026069711983,0.5269175426679452,-0.005485064303253129
2019-2020,benchmark_return_tail,bottom_decile,8,51,-0.02254554716344442,-0.020524657120762797,0.002020890042681623,0.509264290755769,0.450759745735882,0.43775261564246587,-0.013007130093416142
2019-2020,benchmark_return_tail,bottom_decile,9,51,-0.025527578187876793,-0.025612772089888828,-8.519390201202762e-05,-0.02146886330703096,0.5147419300983257,0.500257065756436,-0.01448486434188967
2019-2020,benchmark_return_tail,middle_80pct,0,403,0.0008620189620043417,0.0008899255414913936,2.790657948705189e-05,0.007032458030737076,0.07054740061487899,0.06548876889626683,-0.005058631718612164
2019-2020,benchmark_return_tail,middle_80pct,1,403,0.001427127969630388,0.0016581563948766483,0.00023102842524626028,0.058219163162057594,0.062278754937116036,0.07287604245201694,0.010597287514900904
2019-2020,benchmark_return_tail,middle_80pct,2,403,0.0018897749894730453,0.001926221934951332,3.64469454782869e-05,0.0091846302605283,0.13849918319932783,0.16477460312414755,0.026275419924819715
2019-2020,benchmark_return_tail,middle_80pct,3,403,0.0013156130805132551,0.0016973714529287384,0.0003817583724154837,0.0962031098487019,0.06688732419007952,0.07431529333105318,0.007427969140973656
2019-2020,benchmark_return_tail,middle_80pct,4,403,0.0015946836910625377,0.0018243053017621405,0.00022962161069960292,0.057864645896299936,0.09473503902852042,0.14736222122938109,0.05262718220086067
2019-2020,benchmark_return_tail,middle_80pct,5,403,0.0006714681229378815,0.0014563147179279634,0.0007848465949900817,0.19778134193750058,0.11567877519747015,0.08131541408160436,-0.034363361115865784
