window,year,seed,metric,ann,mps,mps_minus_ann
2019-2020,2020,3,period_return,0.3365922880597602,0.3275901404724315,-0.009002147587328702
2019-2020,2020,3,sharpe,1.048142516303424,0.9433679463174568,-0.10477456998596713
2019-2020,2020,3,max_drawdown,-0.2189313416292665,-0.24252700261806,-0.02359566098879351
2019-2020,2020,3,annualized_turnover,0.669489856471697,0.099455892244377,-0.57003396422732
2019-2020,2020,3,total_cost,832.7746431140899,123.49485619688036,-709.2797869172095
2019-2020,2019,4,period_return,0.0762797639265193,-0.0032892026699347,-0.079568966596454
2019-2020,2019,4,sharpe,0.5485918330997924,0.0877464123433737,-0.4608454207564187
2019-2020,2019,4,max_drawdown,-0.165270187042048,-0.2333211570666137,-0.0680509700245657
2019-2020,2019,4,annualized_turnover,1.1859843977608224,1.1305866736797818,-0.0553977240810406
2019-2020,2019,4,total_cost,1205.9655084495544,1150.0738588130473,-55.891649636507054
2019-2020,2020,4,period_return,0.3368127472025461,0.4859501983082188,0.14913745110567267
2019-2020,2020,4,sharpe,1.0244989261405375,1.239667206942813,0.21516828080227546
2019-2020,2020,4,max_drawdown,-0.2636514121226008,-0.2324178696805634,0.031233542442037382
2019-2020,2020,4,annualized_turnover,0.633396152386609,1.0366713159748084,0.4032751635881995
2019-2020,2020,4,total_cost,716.7738557777404,1139.341136918068,422.5672811403276
2019-2020,2019,5,period_return,0.1010441891211137,0.2700899426851908,0.16904575356407714
2019-2020,2019,5,sharpe,1.4795632497906608,2.14688725248835,0.6673240026976894
2019-2020,2019,5,max_drawdown,-0.0447249812873586,-0.0627525872388297,-0.018027605951471105
2019-2020,2019,5,annualized_turnover,0.6919230733245232,1.2481657691393342,0.556242695814811
2019-2020,2019,5,total_cost,701.8716508293152,1281.9345795490742,580.062928719759
2019-2020,2020,5,period_return,0.0464930759240911,0.1381018267760141,0.091608750851923
2019-2020,2020,5,sharpe,0.3081689147693724,0.53783918163079,0.22967026686141762
2019-2020,2020,5,max_drawdown,-0.2344993111981389,-0.2623955371126424,-0.027896225914503497
2019-2020,2020,5,annualized_turnover,0.7203431117723785,0.3824747405829276,-0.33786837118945096
2019-2020,2020,5,total_cost,784.5346100273134,483.93188299942017,-300.60272702789325
2019-2020,2019,6,period_return,0.1228839628586462,0.182025290533496,0.05914132767484981
2019-2020,2019,6,sharpe,0.8622900117910128,1.2390279423254515,0.3767379305344387
2019-2020,2019,6,max_drawdown,-0.1224997274650614,-0.1015291387225414,0.02097058874251999
2019-2020,2019,6,annualized_turnover,0.9990201763568252,0.9822711434605838,-0.01674903289624141
2019-2020,2019,6,total_cost,1020.15770104599,999.1052070121766,-21.052494033813446
2019-2020,2020,6,period_return,0.2304114874869325,0.2304851946824417,7.370719550919835e-05
2019-2020,2020,6,sharpe,0.7912381234274312,0.8169170979647463,0.025678974537315158
2019-2020,2020,6,max_drawdown,-0.3205510222022247,-0.3111130321474865,0.009437990054738221
2019-2020,2020,6,annualized_turnover,0.0552183853401355,0.0331845830750393,-0.0220338022650962
2019-2020,2020,6,total_cost,52.54226990222931,31.29446096563339,-21.247808936595916
2019-2020,2019,7,period_return,0.2279967596520329,0.2012011973499352,-0.026795562302097703
2019-2020,2019,7,sharpe,1.8878466626313668,1.684826089579068,-0.2030205730522987
